ui.menu|Menu
ui.close|Fechar
ui.closeImage|Fechar
mail.privateSubject|button4help™ — pedido de informações
mail.privateBody|Bom dia,\ngostaria de receber informações sobre o button4help™: preço, disponibilidade e compatibilidade com o meu telemóvel.\n\nModelo do telemóvel: \n\nCom os melhores cumprimentos
mail.partnerSubject|no pAIn™ — pedido de colaboração
mail.partnerBody|Bom dia,\ngostaria de saber mais sobre o projeto no pAIn™ e avaliar uma possível colaboração ou demonstração.\n\nEntidade ou empresa: \nPessoa de contacto: \n\nCom os melhores cumprimentos
002|no pAIn™: a proteção digital contra a violência de género. Aplicações e dispositivos que pedem ajuda com a voz ou com um gesto, sem ter de falar com ninguém.
003|O projeto
004|As aplicações
006|Free e Premium
007|Como funciona
008|Investigação
009|Organizações
010|Perguntas
011|Contactos
012|Proteção digital · digital4help™
013|Pedir ajuda <span class="hl">sem ter de falar.</span>
014|no pAIn™ é um ecossistema de aplicações e dispositivos para a prevenção da violência de género. Com uma palavra, um toque ou um botão, avisa de imediato duas pessoas de confiança com a sua localização: mensagens e chamadas partem sozinhas.
015|Escolha a sua aplicação <span class="arr">→</span>
016|Conheça o button4help™ <span class="arr">→</span>
017|Projeto criado pelo <strong>Prof. Eng. Agostino Giorgio</strong><br>Docente do Politecnico di Bari
019|Giulia<small>contacto de emergência</small>
020|<span class="sos">PEDIDO DE AJUDA</span><br>Preciso de ajuda. Esta é a minha localização.
021|41.1087° N, 16.8784° E<br><span class="live">● localização em tempo real ativa</span>
022|Exemplo ilustrativo do que um contacto recebe
023|A ideia
024|Do signal4help ao <span class="hl">digital4help™</span>
025|O sinal com a mão, signal4help, tornou-se o gesto universal com que quem está em perigo pede ajuda em silêncio. Mas só funciona se alguém o vir. no pAIn™ criou uma versão eletrónica: o “signal for help” chega às pessoas certas, onde quer que estejam, juntamente com a localização.
026|GESTO 1
027|Palma aberta
028|GESTO 2
029|Polegar dobrado sobre a palma
030|GESTO 3
031|Dedos fechados sobre o polegar
033|A mesma mensagem, sem precisar de ser vista
034|Uma palavra-chave dita em voz alta, um toque no ecrã, no relógio ou num botão no bolso. A aplicação faz o resto e avisa os seus contactos de emergência.
035|Porque é necessário
036|Em perigo nem sempre se pode falar.
037|O 112 e aplicações como o YouPol continuam a ser ferramentas fundamentais. Mas exigem falar com um operador, explicar o que se passa e dizer onde se encontra. Com um agressor ao lado, isso é muitas vezes impossível.
038|Chamada ou aplicação de denúncia
039|É preciso pegar no telemóvel e desbloqueá-lo
040|É preciso falar ou escrever, explicando a situação
