ui.menu|Menü
ui.close|Schließen
ui.closeImage|Schließen
mail.privateSubject|button4help™ — Informationsanfrage
mail.privateBody|Guten Tag,\nich möchte Informationen zu button4help™ erhalten: Preis, Verfügbarkeit und Kompatibilität mit meinem Telefon.\n\nTelefonmodell: \n\nMit freundlichen Grüßen
mail.partnerSubject|no pAIn™ — Anfrage zur Zusammenarbeit
mail.partnerBody|Guten Tag,\nich möchte mehr über das Projekt no pAIn™ erfahren und eine mögliche Zusammenarbeit oder Vorführung besprechen.\n\nEinrichtung oder Unternehmen: \nAnsprechperson: \n\nMit freundlichen Grüßen
002|no pAIn™: digitaler Schutz vor geschlechtsspezifischer Gewalt. Apps und Geräte, die per Stimme oder Geste Hilfe rufen, ohne mit jemandem sprechen zu müssen.
003|Das Projekt
004|Die Apps
006|Free & Premium
007|So funktioniert’s
008|Forschung
009|Organisationen
010|Fragen
011|Kontakt
012|Digitaler Schutz · digital4help™
013|Hilfe rufen, <span class="hl">ohne sprechen zu müssen.</span>
014|no pAIn™ ist ein Ökosystem aus Apps und Geräten zur Prävention geschlechtsspezifischer Gewalt. Mit einem Wort, einer Berührung oder einem Knopfdruck benachrichtigt es sofort zwei Vertrauenspersonen mit Ihrem Standort: Nachrichten und Anrufe gehen automatisch hinaus.
015|Wählen Sie Ihre App <span class="arr">→</span>
016|button4help™ entdecken <span class="arr">→</span>
017|Ein Projekt von <strong>Prof. Ing. Agostino Giorgio</strong><br>Dozent am Politecnico di Bari
019|Giulia<small>Notfallkontakt</small>
020|<span class="sos">HILFERUF</span><br>Ich brauche Hilfe. Das ist mein Standort.
021|41.1087° N, 16.8784° E<br><span class="live">● Live-Standort aktiv</span>
022|Beispiel dafür, was ein Kontakt erhält
023|Die Idee
024|Von signal4help zu <span class="hl">digital4help™</span>
025|Das Handzeichen signal4help ist zur weltweit bekannten Geste geworden, mit der Menschen in Gefahr lautlos um Hilfe bitten. Doch es wirkt nur, wenn jemand es sieht. no pAIn™ hat daraus eine elektronische Version gemacht: Das „signal for help“ erreicht die richtigen Menschen, wo immer sie sind, zusammen mit dem Standort.
026|GESTE 1
027|Offene Handfläche
028|GESTE 2
029|Daumen in die Handfläche gelegt
030|GESTE 3
031|Finger über dem Daumen geschlossen
033|Dieselbe Botschaft, ohne gesehen werden zu müssen
034|Ein laut gesprochenes Schlüsselwort, eine Berührung auf dem Bildschirm, auf der Uhr oder auf einem Knopf in der Tasche. Die App erledigt den Rest und benachrichtigt Ihre Notfallkontakte.
035|Warum es wichtig ist
036|In Gefahr kann man nicht immer sprechen.
037|Die 112 und Apps wie YouPol bleiben unverzichtbar. Sie verlangen jedoch, mit einer Leitstelle zu sprechen, die Lage zu erklären und den eigenen Aufenthaltsort zu nennen. Mit einem Angreifer daneben ist das oft unmöglich.
038|Anruf oder Melde-App
039|Man muss das Telefon in die Hand nehmen und entsperren
040|Man muss sprechen oder schreiben und die Lage erklären
041|Man muss beschreiben, wo man ist
042|Der Angreifer kann es bemerken
043|Eine App mit no pAIn™-Technologie
044|Ein Schlüsselwort genügt, auch wenn das Telefon einige Meter entfernt ist
045|Oder eine unauffällige Berührung: auf einer Benachrichtigung, auf der Uhr, auf einem Knopf
046|Der Standort wird automatisch gesendet
047|Zwei Vertrauenspersonen werden sofort benachrichtigt und können die Polizei rufen
048|So aktivieren Sie es
049|Sechs blitzschnelle Wege, Alarm auszulösen.
050|Jede Situation ist anders: Deshalb bieten die no pAIn™-Apps mehrere Auslöser. Wählen Sie die, die Sie unbemerkt nutzen können. Die verfügbaren Funktionen hängen von App und Gerät ab.
051|Offline-KI
052|Sprachbefehl
053|Sie sprechen ein Schlüsselwort aus und die Notfallaktionen starten, ohne das Telefon zu berühren. Unter Android läuft die Spracherkennung auf dem Gerät, mit 4 festen und 3 persönlichen Schlüsselwörtern: Sie funktioniert bei geöffneter, im Hintergrund laufender oder geschlossener App, auch bei ausgeschaltetem Bildschirm und mit dem Telefon einige Meter entfernt. Auf dem iPhone genügt „Hey Siri, Hilf mir“.
054|App geöffnet
055|Notfallknopf in der App
056|Der große SOS-Knopf auf dem Hauptbildschirm. Die einfachste Methode; die App muss dafür im Vordergrund sein.
057|Android · App geschlossen
058|Schnellknopf auf dem Startbildschirm
059|Ein Knopf auf dem Startbildschirm weckt die App auch dann, wenn sie geschlossen ist und ruht, und startet sofort den Notfall.
060|Android · unauffällig
061|Dauerhafte Benachrichtigung
062|Eine Berührung der Benachrichtigung, die immer da ist. Wer Sie beobachtet, denkt, Sie scrollen nur durch Ihre Benachrichtigungen: In Wirklichkeit rufen Sie um Hilfe.
064|Smartwatch
065|Stimme oder Knopf auf dem Zifferblatt einer Wear-OS-Smartwatch oder eine Berührung auf der Apple Watch. Die Smartphone-Apps haben eine eigene Begleit-App für die Uhr; AIuto SOS funktioniert sogar ohne Smartphone.
066|Knopf button4help™
067|Halten Sie den kleinen Knopf, den Sie bei sich tragen, ein paar Sekunden gedrückt: Die App auf dem mehrere Meter entfernten Smartphone startet den Notfall. <a class="link-arrow" href="button4help.html">Entdecken →</a>
068|Was passiert
069|Alles startet von selbst, an zwei Vertrauenspersonen.
070|In der App legen Sie zwei Notfallkontakte fest, Angehörige oder Freunde. Sobald der Alarm ausgelöst wird, erhalten sie Ihren Hilferuf und Ihren Standort.
072|SMS mit Standort
073|GPS-Koordinaten, Adresse und Kartenlink. Wird über das Telefonnetz gesendet, ohne Internet.
075|WhatsApp mit Standort
076|Auf dem iPhone kommt die Nachricht mit dem Standort auch per WhatsApp an.
077|live bis zu 24 Stunden
078|Telegram mit Live-Standort
079|Der Standort wird in Echtzeit aktualisiert, damit Ihre Kontakte Ihnen folgen können. Die Dauer hängt von App und Version ab.
080|Anruf
081|Die App ruft Ihre Notfallkontakte an, ohne dass Sie eine Nummer wählen müssen.
082|Sie
083|Stimme, Berührung oder Knopf
084|no pAIn™-App
085|Standort + Nachrichten
086|2 Vertrauenskontakte
087|SMS · WhatsApp · Telegram · Anruf
088|Konkrete Hilfe
089|sie rufen die Polizei oder kommen zu Ihnen
090|<b>Wichtig</b> Die Apps benachrichtigen die von Ihnen gewählten Kontakte: Sie rufen nicht direkt die 112 an und ersetzen sie nicht. Vereinbaren Sie vorher mit Ihren Kontakten, was bei einem Alarm zu tun ist, und machen Sie gemeinsam einen Test.
091|Werbematerial des Projekts. Der Schmuck in den Illustrationen ist ein Designkonzept.
092|Das Ökosystem
093|Ihr Gerät. Ihre no pAIn™-App.
094|Android-Smartphones, iPhone, Smartwatches und ein Knopf für die Tasche. Sprachen, Verbindungen und Funktionen unterscheiden sich von App zu App: Wählen Sie die passende Lösung.
095|ANDROID · 12 SPRACHEN
097|Die mehrsprachige Version für Android, kompatibel mit button4help™.
098|Entdecken →
099|ANDROID · ITALIENISCH
100|Proteggimi (no pAIn™)
101|Die no pAIn™-App für Android auf Italienisch.
102|IPHONE · 12 SPRACHEN
103|no pAIn™ (Proteggimi)
104|Die Version für iPhone und Apple Watch.
105|WEAR OS · NUR SMARTWATCH
107|Funktioniert allein auf der Uhr, ohne Smartphone.
108|BLUETOOTH-GERÄT
109|Der Knopf, der aus der Ferne Alarm auslöst. Erhältlich bei einem externen Händler.
110|Free- und Premium-Version vergleichen →
111|Erste Schritte
112|Wählen Sie, wie Sie auslösen. Entscheiden Sie, wen Sie benachrichtigen.
113|Ihr Netzwerk vorbereiten
114|Wählen Sie die App für Ihr Gerät, richten Sie die Kontakte ein und aktivieren Sie die gewünschten Aktionen. Wenn Sie den Knopf nutzen, schließen Sie die Kopplung ab.
115|Vor der Nutzung
116|Hilferuf auslösen
117|Nutzen Sie die Methode Ihrer App: Sprachbefehl, Berührung des Bildschirms, kompatible Smartwatch oder gekoppelter physischer Knopf.
118|Im Ernstfall
119|Ihre Kontakte benachrichtigen
120|Die aktivierten Aktionen starten: Nachrichten mit Standort, Live-Freigabe über Telegram und Anrufe an die eingerichteten Kontakte.
121|An Ihre Kontakte
122|Alle Details zur Funktionsweise →
123|Technologie und Forschung
124|An der Universität entstanden, in einer Fachzeitschrift veröffentlicht.
125|no pAIn™ steht für <em>never oppressed protected by Artificial Intelligence Non violence system</em>. Das Projekt ist in zwei Artikeln der Zeitschrift <em>Electronics</em> (2024 und 2026) und in einer vollständigen Präsentation mit 23 Seiten beschrieben.
126|Technologie und Veröffentlichungen →
127|Zusammenarbeit
128|Bringen Sie no pAIn™ in Ihre Organisation.
129|Behörden, Vereine, Unternehmen und Sponsoren: Das Werkzeug bekannt zu machen und in ein Unterstützungsnetz einzubinden, ist genauso wichtig, wie es bereitzustellen.
130|Angebote für Organisationen und Unternehmen →
131|Preise, Verfügbarkeit und Zusammenarbeit
132|Finden wir die passende Lösung für Sie.
134|Fachbereich Elektrotechnik und Informationstechnik
136|Tel. Büro: 080 596 3239/579
137|Informationen für Privatpersonen
138|Apps, button4help™ und Kompatibilität mit Ihrem Telefon
139|Angebote für Organisationen und Unternehmen
140|Vorführungen und Zusammenarbeit
141|Ihr E-Mail-Programm öffnet sich. Sie können auch direkt schreiben an <a href="mailto:agostino.giorgio@poliba.it">agostino.giorgio@poliba.it</a>
142|Ein Projekt von Prof. Ing. Agostino Giorgio<br>Dozent am Politecnico di Bari
143|Die Website
